Time,Flux
1885.4037317192162,14667.506
1885.4051206277586,14687.626
1885.4065095360686,14698.748
1885.4078984446114,14705.502
1885.4092873529207,14698.244
1885.4106762614638,14648.086
1885.4120651697745,14678.68
1885.4134540783175,14648.42
1885.4148429868596,14717.502
1885.4162318951696,14687.181
1885.4176208037125,14680.361
1885.419009712022,14664.244
1885.4203986205641,14683.6875
1885.421787528875,14673.944
1885.4231764374185,14682.668
1885.4245653457278,14687.956
1885.425954254271,14691.876
1885.4273431625809,14657.865
1885.428732071123,14677.79
1885.4301209794326,14720.66
1885.4315098879754,14674.282
1885.4328987962854,14674.34
1885.4342877048284,14700.128
1885.435676613372,14696.971
1885.4370655216821,14696.467
1885.4384544302243,14672.5
1885.4398433385336,14695.994
1885.4412322470766,14659.276
1885.4426211553866,14678.15
1885.4440100639288,14697.76
1885.4453989722397,14684.162
1885.4467878807832,14682.675
1885.4481767893253,14686.136
1885.4495656976346,14656.746
1885.4509546061777,14690.304
1885.4523435144877,14689.912
1885.4537324230298,14709.488
1885.4551213313398,14667.82
1885.4565102398835,14665.784
1885.4578991484263,14702.939
1885.4592880567359,14682.134
1885.4606769652787,14677.758
1885.462065873589,14687.944
1885.463454782131,14723.129
1885.4648436904404,14673.006
1885.4662325989834,14686.532
1885.467621507527,14686.836
1885.469010415837,14709.466
1885.4703993243797,14684.865
1885.47178823269,14710.79
1885.473177141232,14696.447
1885.4745660497742,14690.807
1885.4759549580845,14687.178
1885.4773438666273,14694.126
1885.4787327749368,14661.287
1885.4801216834803,14683.211
1885.4815105920238,14704.082
1885.4828995003331,14674.627
1885.4842884088755,14675.851
1885.4856773174183,14685.709
1885.4870662257285,14693.091
1885.4884551342707,14694.234
1885.4898440425807,14655.132
1885.4912329511244,14686.424
1885.4926218596672,14658.464
1885.4940107679765,14674.453
1885.4953996765194,14713.615
1885.4967885848296,14692.205
1885.4981774933717,14690.408
1885.4995664019148,14690.409
1885.5009553102248,14677.708
1885.5023442187676,14710.46
1885.5037331273106,14690.516
1885.5051220356206,14706.307
1885.5065109441634,14700.267
1885.5078998527056,14721.67
1885.5092887610158,14666.463
1885.5106776695586,14679.229
1885.5120665778682,14688.328
1885.513455486411,14672.987
1885.5148443949545,14701.998
1885.5162333032645,14676.44
1885.5176222118068,14698.232
1885.5190111203497,14701.309
1885.5204000286599,14702.267
1885.521788937202,14701.09
1885.5231778457442,14658.5625
1885.5245667540548,14690.682
1885.5259556625986,14703.048
1885.5273445711407,14676.901
1885.5287334794507,14700.273
1885.5301223879937,14673.152
1885.5315112965359,14699.671
1885.5329002048452,14693.4
1885.5342891133882,14695.138
1885.535678021931,14659.652
1885.537066930241,14701.836
1885.538455838784,14689.261
1885.539844747327,14680.13
1885.541233655637,14693.599
1885.5426225641793,14665.324
1885.544011472722,14692.763
1885.5454003810323,14695.114
1885.5467892895745,14690.55
1885.5481781981173,14695.358
1885.5495671064282,14727.969
1885.550956014971,14711.723
1885.5523449235131,14694.768
1885.5537338318231,14687.224
1885.5551227403662,14716.133
1885.5565116489083,14709.568
1885.5579005572176,14704.073
1885.5592894657614,14714.882
1885.5606783743049,14694.777
1885.5620672826144,14683.724
1885.5634561911572,14695.592
1885.5648450997,14672.589
1885.5662340080094,14709.579
1885.5676229165517,14695.729
1885.5690118250945,14700.922
1885.5704007334052,14698.253
1885.5717896419483,14699.116
1885.573178550491,14721.715
1885.574567459034,14690.842
1885.5759563673435,14669.963
1885.5773452758856,14709.856
1885.5787341844284,14678.224
1885.5801230927386,14686.464
1885.5815120012808,14660.264
1885.5829009098243,14726.867
1885.5842898181352,14700.895
1885.5856787266773,14708.512
1885.5870676352197,14698.08
1885.5884565435297,14717.657
1885.5898454520725,14674.261
1885.5912343606146,14676.351
1885.5926232691577,14687.624
1885.5940121774684,14690.192
1885.5954010860114,14709.044
1885.5967899945535,14677.125
1885.5981789028635,14688.7295
1885.5995678114064,14700.758
1885.6009567199487,14693.771
1885.6023456284909,14671.036
1885.6037345368009,14676.808
1885.6051234453446,14720.4375
1885.6065123538874,14694.8125
1885.6079012621976,14692.695
1885.6092901707405,14719.447
1885.6106790792826,14693.571
1885.6120679875921,14717.214
1885.613456896135,14706.5
1885.6148458046778,14683.248
1885.6162347132208,14703.134
1885.6176236215315,14710.781
1885.6190125300743,14678.531
1885.6204014386167,14689.845
1885.621790346926,14698.968
1885.6231792554688,14693.117
1885.6245681640116,14691.7295
1885.625957072554,14650.618
1885.627345980864,14698.396
1885.6287348894075,14691.849
1885.6301237979505,14720.956
1885.6315127062599,14683.893
1885.632901614803,14668.598
1885.6342905233457,14689.213
1885.6356794318879,14688.935
1885.6370683401979,14709.776
1885.639846157284,14690.716
1885.6426239741368,14719.743
1885.6440128826798,14710.286
1885.645401791222,14705.602
1885.646790699532,14712.249
1885.6481796080748,14661.925
1885.6495685166171,14697.425
1885.65095742516,14706.213
1885.6523463334706,14667.82
1885.6537352420137,14699.679
1885.6551241505558,14700.764
1885.656513058866,14683.432
1885.6579019674089,14699.385
1885.659290875951,14685.26
1885.6606797844931,14728.13
1885.662068692804,14710.22
1885.6634576013475,14699.165
1885.6648465098897,14708.328
1885.666235418432,14694.223
1885.667624326742,14732.319
1885.669013235285,14712.543
1885.6704021438272,14694.883
1885.6717910521372,14695.558
1885.67317996068,14712.299
1885.674568869223,14729.4375
1885.675957777766,14705.995
1885.677346686076,14694.277
1885.678735594619,14720.097
1885.680124503161,14721.561
1885.6815134114713,14669.793
1885.6829023200141,14704.57
1885.6842912285563,14677.679
1885.685680137099,14672.033
1885.68706904541,14698.108
